,holding_id,user_id,ticker,broker_id,purchase_val,quant_x,purchase_dt,fg_active,id,sell_value,quant_y,selling_dt,yield
0,1,1,elet3.sa,Clear,48.36,28,2022-08-19,true,,,,,
1,2,1,prio3.sa,XP,26.97,0,2022-09-06,false,1.0,28.17,51.0,2022-09-15,212.67
2,3,1,vale3.sa,XP,68.08,32,2022-09-15,true,,,,,
3,4,1,cple3.sa,XP,6.28,400,2022-09-15,true,,,,,
4,5,1,cple6.sa,XP,6.73,300,2022-09-15,true,,,,,
5,6,1,ntco3.sa,XP,16.93,100,2022-09-15,true,,,,,
6,7,1,prio3.sa,Clear,27.8,0,2022-08-19,false,2.0,28.04,76.0,2022-09-15,18.24
7,8,1,tots3.sa,Clear,30.85,0,2022-08-19,false,3.0,29.81,20.0,2022-09-15,-20.8
8,9,1,prio3.sa,Toro,24.12,0,2022-08-08,false,9.0,29.17,100.0,2022-09-22,505.0
9,10,1,enat3.sa,Toro,18.66,100,2022-07-29,true,,,,,
10,11,1,bbas3.sa,Toro,41.5,35,2022-09-01,true,,,,,
11,12,1,cyre3.sa,Toro,14.07,0,2022-07-29,false,8.0,14.23,30.0,2022-09-01,4.8
12,13,1,lren3.sa,Toro,25.06,0,2022-07-28,false,6.0,26.59,8.0,2022-09-01,12.24
13,14,1,suzb3.sa,Toro,46.97,0,2022-07-28,false,7.0,44.39,5.0,2022-09-01,-12.9
14,15,1,rrrp3.sa,XP,36.5,0,2022-06-28,false,12.0,42.07,100.0,2022-10-04,557.0
15,16,1,petr4.sa,XP,32.28,48,2022-09-02,true,,,,,
16,17,1,raiz4.sa,XP,4.97,400,2022-08-29,true,,,,,
