,index,petr4.sa,petr4.sa_quant,petr4.sa_invest,Date,petr4.sa_total,total_yield,total_invest,yield
0,2022-08-15,31.719999313354492,200,6252,2022-08-15,6343.999862670898,6343.999862670898,6252,1.47
1,2022-08-16,32.0099983215332,200,6252,2022-08-16,6401.999664306641,6401.999664306641,6252,2.4
2,2022-08-17,32.7599983215332,200,6252,2022-08-17,6551.999664306641,6551.999664306641,6252,4.8
3,2022-08-18,33.41999816894531,200,6252,2022-08-18,6683.9996337890625,6683.9996337890625,6252,6.91
4,2022-08-19,31.729999542236328,200,6252,2022-08-19,6345.999908447266,6345.999908447266,6252,1.5
5,2022-08-22,32.40999984741211,200,6252,2022-08-22,6481.999969482422,6481.999969482422,6252,3.68
6,2022-08-23,33.439998626708984,200,6252,2022-08-23,6687.999725341797,6687.999725341797,6252,6.97
7,2022-08-24,33.63999938964844,200,6252,2022-08-24,6727.9998779296875,6727.9998779296875,6252,7.61
8,2022-08-25,33.279998779296875,200,6252,2022-08-25,6655.999755859375,6655.999755859375,6252,6.46
9,2022-08-26,33.63999938964844,200,6252,2022-08-26,6727.9998779296875,6727.9998779296875,6252,7.61
10,2022-08-29,34.47999954223633,200,6252,2022-08-29,6895.999908447266,6895.999908447266,6252,10.3
11,2022-08-30,32.43000030517578,200,6252,2022-08-30,6486.000061035156,6486.000061035156,6252,3.74
12,2022-08-31,33.22999954223633,200,6252,2022-08-31,6645.999908447266,6645.999908447266,6252,6.3
13,2022-09-01,33.849998474121094,200,6252,2022-09-01,6769.999694824219,6769.999694824219,6252,8.29
14,2022-09-02,33.41999816894531,200,6252,2022-09-02,6683.9996337890625,6683.9996337890625,6252,6.91
15,2022-09-05,33.34000015258789,200,6252,2022-09-05,6668.000030517578,6668.000030517578,6252,6.65
16,2022-09-06,32.099998474121094,200,6252,2022-09-06,6419.999694824219,6419.999694824219,6252,2.69
17,2022-09-08,31.799999237060547,200,6252,2022-09-08,6359.999847412109,6359.999847412109,6252,1.73
18,2022-09-09,31.790000915527344,200,6252,2022-09-09,6358.000183105469,6358.000183105469,6252,1.7
19,2022-09-12,31.479999542236328,200,6252,2022-09-12,6295.999908447266,6295.999908447266,6252,0.7
20,2022-09-13,30.649999618530273,200,6252,2022-09-13,6129.999923706055,6129.999923706055,6252,-1.95
21,2022-09-14,31.1200008392334,200,6252,2022-09-14,6224.00016784668,6224.00016784668,6252,-0.45
22,2022-09-15,31.059999465942383,200,6252,2022-09-15,6211.999893188477,6211.999893188477,6252,-0.64
23,2022-09-16,30.780000686645508,200,6252,2022-09-16,6156.000137329102,6156.000137329102,6252,-1.54
24,2022-09-19,31.270000457763672,200,6252,2022-09-19,6254.000091552734,6254.000091552734,6252,0.03
25,2022-09-20,31.09000015258789,200,6252,2022-09-20,6218.000030517578,6218.000030517578,6252,-0.54
26,2022-09-21,31.170000076293945,200,6252,2022-09-21,6234.000015258789,6234.000015258789,6252,-0.29
27,2022-09-22,31.940000534057617,200,6252,2022-09-22,6388.000106811523,6388.000106811523,6252,2.18
28,2022-09-23,29.940000534057617,200,6252,2022-09-23,5988.000106811523,5988.000106811523,6252,-4.22
29,2022-09-26,29.34000015258789,200,6252,2022-09-26,5868.000030517578,5868.000030517578,6252,-6.14
